model,weeks,CAGR,vol,Sharpe,max DD,active SR
momentum,241,37.8%,41.1%,0.9868259965057675,-28.6%,0.8975708668795537
gbm,241,10.5%,31.5%,0.474340108793679,-37.1%,0.06454225231482637
gbm_expected,241,18.4%,41.3%,0.6139952387477442,-34.5%,0.39106600339545655
gbm_weekly,241,22.9%,41.2%,0.7061492174908175,-39.6%,0.5007959061888605
clam_2021,241,17.2%,34.2%,0.6348440947907324,-32.4%,0.35997166179963064
clam_weekly_cs_demeaned,241,-4.1%,29.7%,0.009878792385203361,-50.6%,-0.8945087078567856
clam_weekly_cs_rank_small,241,10.3%,24.7%,0.5217291398325481,-27.8%,-0.08909137455628512
clam_weekly_cs_rank_small_n94_seed20260922,241,9.2%,37.4%,0.42269335427695526,-49.8%,0.08717893629416906
clam_weekly_cs_rank_small_n500_seed20260922,241,11.0%,24.2%,0.5520524802738396,-32.8%,-0.04021680075663282
clam_weekly_cs_rank_small_n3000_seed20260922,241,-0.3%,15.3%,0.05785646094394902,-25.5%,-0.9876502524050844
universe_ew,241,12.6%,19.9%,0.695771577585807,-21.3%,
benchmark_spy,241,12.7%,16.7%,0.8018586617927431,-21.8%,-0.05390023465682444
